stno,yyyymmddhh,year,month,day,hour,PS01,PS02,TX01,RH01,WD01,WD02,PP01,SS01,SS02,CD11,altitude,longitude,latitude,start_time,number_of_hour,issue_time,APCP,DSWRF,HCDC,LCDC,MCDC,PRES,PRMSL,RH,TMP,UGRD,VGRD
001,2017090108,2017,9,1,8,642.6,3142.3,7.5,97,8.8,150.0,1.0,0.0,0.0,-9997,3844.8,120.9595,23.4876,2017-09-01 00:00:00 UTC,5840,2017-09-01 00:00:00 UTC,0.0,0.0,0.0,0.0,0.0,72579.49999999999,101629.22222222225,89.85555555555555,286.9766666666667,-2.7722222222222226,0.5355555555555556
001,2017090109,2017,9,1,9,642.5,3141.0,7.3,97,11.8,150.0,3.5,0.0,0.0,-9997,3844.8,120.9595,23.4876,2017-09-01 01:00:00 UTC,5841,2017-09-01 00:00:00 UTC,0.9131111111111112,169.99999999999997,99.26666666666668,21.111111111111114,98.66666666666669,36302.75,101614.11111111114,92.0,286.24666666666667,-3.921111111111111,2.9388888888888887
001,2017090110,2017,9,1,10,641.7,3132.9,6.3,93,15.5,140.0,6.5,0.0,0.0,-9999,3844.8,120.9595,23.4876,2017-09-01 02:00:00 UTC,5842,2017-09-01 00:00:00 UTC,1.7477777777777777,258.5444444444445,99.8222222222222,30.777777777777768,99.22222222222223,36298.88333333333,101589.88888888886,94.12222222222223,286.53,-2.4200000000000004,2.41
001,2017090111,2017,9,1,11,642.0,3135.5,7.0,96,13.2,150.0,5.5,0.0,0.0,-9997,3844.8,120.9595,23.4876,2017-09-01 03:00:00 UTC,5843,2017-09-01 00:00:00 UTC,5.1722222222222225,164.63333333333338,96.1,27.555555555555557,100.0,36296.105555555565,101587.11111111114,96.85555555555555,286.23444444444436,-1.4111111111111108,-0.05111111111111116
001,2017090112,2017,9,1,12,641.5,3128.8,6.9,95,15.9,150.0,1.0,0.0,0.45,-9999,3844.8,120.9595,23.4876,2017-09-01 04:00:00 UTC,5844,2017-09-01 00:00:00 UTC,11.133333333333333,138.33333333333334,95.36666666666667,33.18888888888889,92.33333333333331,36289.55555555556,101576.22222222225,96.57777777777778,286.1111111111112,-2.475555555555556,-0.6588888888888891
001,2017090113,2017,9,1,13,641.2,3124.8,7.3,94,14.7,160.0,0.0,0.0,0.81,-9999,3844.8,120.9595,23.4876,2017-09-01 05:00:00 UTC,5845,2017-09-01 00:00:00 UTC,14.333333333333336,162.04444444444445,98.22222222222223,33.03333333333333,53.111111111111114,36274.566666666666,101526.22222222225,94.6,286.35777777777776,-4.32,0.5466666666666666
001,2017090114,2017,9,1,14,641.2,3122.9,8.7,97,9.8,150.0,0.0,0.0,0.9,-9997,3844.8,120.9595,23.4876,2017-09-01 06:00:00 UTC,5846,2017-09-01 00:00:00 UTC,14.644444444444444,269.04444444444437,98.44444444444444,37.15555555555557,41.333333333333336,36272.33888888888,101500.44444444444,93.74444444444444,286.7755555555555,-5.56,4.084444444444443
001,2017090115,2017,9,1,15,640.7,3117.3,8.2,95,11.2,150.0,0.5,0.0,1.0,-9999,3844.8,120.9595,23.4876,2017-09-01 07:00:00 UTC,5847,2017-09-01 00:00:00 UTC,14.866666666666665,239.4,96.88888888888887,37.46666666666667,36.77777777777777,36289.55,101537.66666666666,93.7,286.9355555555556,-4.156666666666665,3.523333333333333
001,2017090116,2017,9,1,16,640.9,3120.2,7.9,96,8.7,140.0,0.0,0.0,0.6,-9999,3844.8,120.9595,23.4876,2017-09-01 08:00:00 UTC,5848,2017-09-01 00:00:00 UTC,15.022222222222226,177.9555555555556,94.44444444444444,33.888888888888886,30.88888888888889,36298.461111111115,101571.11111111114,93.2,286.76666666666665,-3.3177777777777786,1.8244444444444443
001,2017090117,2017,9,1,17,640.7,3117.7,7.8,95,11.1,140.0,0.0,0.0,0.57,-9997,3844.8,120.9595,23.4876,2017-09-01 09:00:00 UTC,5849,2017-09-01 00:00:00 UTC,15.155555555555555,168.84444444444443,93.77777777777777,32.47777777777777,23.33333333333333,36300.52777777777,101585.88888888886,90.51111111111106,286.66,-3.5344444444444445,4.245555555555557
001,2017090118,2017,9,1,18,640.6,3116.8,7.3,94,15.3,150.0,0.0,0.0,0.04,-9999,3844.8,120.9595,23.4876,2017-09-01 10:00:00 UTC,5850,2017-09-01 00:00:00 UTC,15.233333333333334,25.31888888888889,90.66666666666669,28.16666666666667,22.88888888888889,36304.18333333333,101600.33333333331,91.83333333333331,286.14333333333326,-3.4833333333333334,3.8644444444444446
001,2017090119,2017,9,1,19,641.1,3123.2,7.4,95,14.5,150.0,0.0,0.0,0.0,-9999,3844.8,120.9595,23.4876,2017-09-01 11:00:00 UTC,5851,2017-09-01 00:00:00 UTC,15.3,0.0,47.88888888888889,28.277777777777768,36.77777777777777,36301.866666666654,101580.77777777775,88.81111111111109,286.31333333333333,-4.483333333333333,4.013333333333334
001,2017090120,2017,9,1,20,641.4,3127.4,7.2,93,15.3,150.0,0.0,-9999.0,0.0,-9997,3844.8,120.9595,23.4876,2017-09-01 12:00:00 UTC,5852,2017-09-01 00:00:00 UTC,15.41111111111111,0.0,52.444444444444436,30.12222222222222,51.22222222222222,36311.41666666668,101613.55555555556,90.08888888888893,286.29222222222234,-4.5633333333333335,4.8611111111111125
